"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"ETERNAL","ETERNAL LIMITED","Outcome of Board Meeting","Eternal Limited has submitted outcome of the Board meeting dated July 21, 2025","21-Jul-2025 15:15:01","2025-07-21 15:15:01","21-Jul-2025 15:15:03","00:00:02","https://nsearchives.nseindia.com/corporate/ZOMATO_21072025150050_ZomatoBoardOutcomeSigned.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","Eternal Limited has informed the exchange regarding grant of stock options pursuant to approval of nomination and remuneration committee.","21-Jul-2025 13:52:31","2025-07-21 13:52:31","21-Jul-2025 13:52:32","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_21072025134955_Disclosuregrantsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Eternal Limited has informed the exchange that the Company will hold its earnings conference call on Monday, July 21, 2025 at 5:00 PM IST, to discuss the unaudited financial results for the quarter ended June 30, 2025.","16-Jul-2025 17:02:55","2025-07-16 17:02:55","16-Jul-2025 17:02:56","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_16072025170249_Boardmeetingintimationjune302025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Eternal Limited has informed the exchange about certificate under Reg 74 of SEBI (Depositories and Participants) Regulations, 2018 for quarter ended June 30, 2025.","09-Jul-2025 20:09:26","2025-07-09 20:09:26","09-Jul-2025 20:09:27","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_09072025200920_Certificateunder74_5_.pdf"
"ETERNAL","ETERNAL LIMITED","Change in Management","Eternal Limited has informed the exchange about change in its senior management.","06-Jul-2025 16:30:24","2025-07-06 16:30:24","06-Jul-2025 16:30:25","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_06072025161543_EternalDisclosureAdityaManglaSigned.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","ETERNAL LIMITED has informed the Exchange regarding Grant of 6477602  Options.","01-Jul-2025 18:19:35","2025-07-01 18:19:35","01-Jul-2025 18:19:36","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_01072025181909_Eternalgrantsjuly2025disclosuresigned.pdf"
"ETERNAL","ETERNAL LIMITED","Trading Window","ETERNAL LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","20-Jun-2025 22:23:18","2025-06-20 22:23:18","20-Jun-2025 22:23:19","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20062025222229_EternalLimitedTradingwindowclosuresigned1.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Eternal Limited has filed with exchange copy of scrutinizer report and voting results.","19-May-2025 22:46:52","2025-05-19 22:46:52","19-May-2025 22:46:52","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_19052025224639_EternalVotingsignedfinal.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Eternal Limited has filed with the Exchange transcript of earnings conference call conducted on May 1, 2025.","08-May-2025 12:35:53","2025-05-08 12:35:53","08-May-2025 12:35:53","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_08052025123356_SignedTranscript2025.pdf"
"ETERNAL","ETERNAL LIMITED","Monitoring Agency Report","Eternal Limited has filed with exchange monitoring agency report for the quarter ended March 31, 2025.","01-May-2025 19:04:33","2025-05-01 19:04:33","01-May-2025 19:04:34","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_01052025190426_MARforfilingMarch2025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","ETERNAL LIMITED has informed the Exchange regarding shareholders letter.","01-May-2025 15:38:37","2025-05-01 15:38:37","01-May-2025 15:38:37","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_01052025153827_EternalShareholderslettersigned.pdf"
"ETERNAL","ETERNAL LIMITED","Outcome of Board Meeting","ETERNAL LIMITED has informed the Exchange regarding Outcome of Board Meeting held on May 01, 2025.","01-May-2025 15:30:23","2025-05-01 15:30:23","01-May-2025 15:30:24","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_01052025153010_EternalBoardmeetingSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Eternal Limited has informed the exchange that the Company will hold its earnings conference call on Thursday, May 1, 2025 at 5:00 PM IST, to discuss the financial results for the quarter and financial year ended March 31, 2025","28-Apr-2025 17:50:45","2025-04-28 17:50:45","28-Apr-2025 17:50:45","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_28042025175028_EternalPrior_IntimationSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Eternal limited has filed voluntary clarification on news article appearing in economic times dated April 24, 2025.","24-Apr-2025 12:54:31","2025-04-24 12:54:31","24-Apr-2025 12:54:31","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_24042025125420_EternalUpdatesigned.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Eternal Limited has filed with the exchange extract of newspaper publication.","20-Apr-2025 18:14:37","2025-04-20 18:14:37","20-Apr-2025 18:14:38","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20042025181430_Eternalnewspaperintimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Eternal Limited has informed the Exchange regarding Notice of Postal Ballot","18-Apr-2025 16:24:39","2025-04-18 16:24:39","18-Apr-2025 16:24:39","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_18042025162432_ZomatoPostalballotintimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Eternal Limited has informed the Exchange regarding outcome of the Board meeting held on April 18, 2025.","18-Apr-2025 16:22:25","2025-04-18 16:22:25","18-Apr-2025 16:22:25","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_18042025162030_ZomatoOutcomesigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Eternal Limited has informed the exchange regarding initiation of liquidation of Zomato Netherlands B.V., step down subsidiary of the Company.","09-Apr-2025 19:04:21","2025-04-09 19:04:21","09-Apr-2025 19:04:21","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_09042025190408_EternalLiquidationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Certificate under SEBI (Depositories and Participants) Regulations, 2018","ETERNAL LIMITED has filed with the exchange Certificate under Regulation 74(5) OF SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 31, 2025","09-Apr-2025 18:35:32","2025-04-09 18:35:32","09-Apr-2025 18:35:33","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_09042025183525_Eternalfilingsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Change in Management","Eternal Limited has informed the exchange regarding resignation of Mr. Rinshul Chandra","05-Apr-2025 20:26:03","2025-04-05 20:26:03","05-Apr-2025 20:26:04","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_05042025202535_Zomatoresignationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Name and Symbol Change","ZOMATO: Members of the Exchange are hereby informed that the name of Zomato Limited shall be changed to ETERNAL LIMITED and symbol be changed to ETERNAL w.e.f. April 09, 2025.","03-Apr-2025 18:24:33","2025-04-03 18:24:33","03-Apr-2025 18:24:34","00:00:01","https://nsearchives.nseindia.com/corporate/apandya_03042025182325_CML67420.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","Eternal Limited has informed the exchange regarding grant of stock options pursuant to approval of the nomination and remuneration committee.","01-Apr-2025 17:51:20","2025-04-01 17:51:20","01-Apr-2025 17:51:20","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_01042025174922_EternalDisclosuregrantsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Amendment to AOA/MOA","Zomato Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.","20-Mar-2025 18:49:31","2025-03-20 18:49:31","20-Mar-2025 18:49:32","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20032025184851_ZomatoNamechnageintimationsIGNED.pdf"
"ETERNAL","ETERNAL LIMITED","Trading Window","Zomato Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","14-Mar-2025 21:21:25","2025-03-14 21:21:25","14-Mar-2025 21:21:26","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_14032025212024_InsiderTradingIntimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Zomato Limited has filed with the Exchange regarding a copy of Scrutinizer report and voting results.","09-Mar-2025 23:25:13","2025-03-09 23:25:13","09-Mar-2025 23:25:13","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_09032025232420_Zomatovotingsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","General update","17-Feb-2025 16:10:52","2025-02-17 16:10:52","17-Feb-2025 16:10:53","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_17022025161046_NuggetdisclosureSIGNED.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed the exchange regarding extract of newspaper publication.","08-Feb-2025 19:46:01","2025-02-08 19:46:01","08-Feb-2025 19:46:01","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_08022025194506_ZLNewspaperIntimation0802025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Zomato Limited has informed the exchange regarding Notice of Postal Ballot","07-Feb-2025 13:26:29","2025-02-07 13:26:29","07-Feb-2025 13:26:30","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_07022025132611_ZomatoPostalballotintimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed the Exchange board approval for change of name of the Company from Zomato Limited to Eternal Limited","06-Feb-2025 17:05:05","2025-02-06 17:05:05","06-Feb-2025 17:05:06","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_06022025170452_Zomatonamechangesigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Letter from Deepinder Goyal","06-Feb-2025 17:00:15","2025-02-06 17:00:15","06-Feb-2025 17:00:16","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_06022025170002_Letter_from_Deepinder_Goyal.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed Exchange regarding order received from Commissioner (Appeals), Gurugram, Haryana","04-Feb-2025 16:41:09","2025-02-04 16:41:09","04-Feb-2025 16:41:10","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_04022025164102_ZomatoGSTupdateSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Zomato Limited has filed with the Exchange Transcript of earnings conference call conducted on January 20, 2025.","27-Jan-2025 13:44:56","2025-01-27 13:44:56","27-Jan-2025 13:44:57","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_27012025134315_TracriptfilingJan2025.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","Zomato Limited has informed the exchange regarding grant of stock options pursuant to approval of the nomination and remuneration committee.","22-Jan-2025 22:15:05","2025-01-22 22:15:05","22-Jan-2025 22:15:07","00:00:02","https://nsearchives.nseindia.com/corporate/ZOMATO_22012025221450_Zomatoesopgrantssigned.pdf"
"ETERNAL","ETERNAL LIMITED","Copy of Newspaper Publication","Zomato Limited has informed the exchange the newspaper publication for financial results of the quarter and nine months ended December 31, 2024,","22-Jan-2025 19:27:29","2025-01-22 19:27:29","22-Jan-2025 19:27:29","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_22012025192511_NewspaperADsignedDec.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Zomato Limited has informed the exchange about link of audio recording of earnings conference call","20-Jan-2025 20:21:29","2025-01-20 20:21:29","20-Jan-2025 20:21:30","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20012025202110_AudioRecordingIntimationJanuary202025signed.pdf"
"ETERNAL","ETERNAL LIMITED","Integrated Filing- Financial","Zomato limited has filed with exchange integrated filing(financials) for the quarter ended December 31, 2024.","20-Jan-2025 20:10:08","2025-01-20 20:10:08","20-Jan-2025 20:10:08","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_20012025201000_Zomatointegratedfilingsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Monitoring Agency Report","Zomato Limited has filed with the Exchange Monitoring Agency Report for the Quarter ended December 31, 2024.","20-Jan-2025 18:54:17","2025-01-20 18:54:17","20-Jan-2025 18:54:18","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20012025185340_MARSigned1.pdf"
"ETERNAL","ETERNAL LIMITED","Statement of deviation(s) or variation(s) under Reg. 32","Zomato Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32","20-Jan-2025 18:04:02","2025-01-20 18:04:02","20-Jan-2025 18:04:03","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20012025180356_Zomatostatementofdeviationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has filed with exchange the Shareholders Letter.","20-Jan-2025 15:12:07","2025-01-20 15:12:07","20-Jan-2025 15:12:08","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_20012025151156_ZomatoSHLSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Financial Result Updates"," Zomato Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024.","20-Jan-2025 15:05:17","2025-01-20 15:05:17","20-Jan-2025 15:05:17","00:00:00","https://nsearchives.nseindia.com/corporate/ZomatooutcomeSigned_20012025150517.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Zomato Limited has informed the exchange that Company will hold its earnings conference call on Monday, January 20, 2025 at 5:00 PM IST, to discuss the financial results of the Company for the quarter and nine months ended December 31, 2024","15-Jan-2025 18:20:36","2025-01-15 18:20:36","15-Jan-2025 18:20:37","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_15012025181650_PriorIntimationJanuary202025.pdf"
"ETERNAL","ETERNAL LIMITED","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Zomato Limited has informed the exchange about certificate under Regulations 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended December 31, 2024","10-Jan-2025 20:33:13","2025-01-10 20:33:13","10-Jan-2025 20:33:14","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_10012025203212_Certificate74_5_December2024Signednew.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed the Exchange regarding Change of name of the Registrar and Share Transfer Agent of the Company.","01-Jan-2025 17:55:34","2025-01-01 17:55:34","01-Jan-2025 17:55:34","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_01012025175443_ChangeofRTAnamesignednew.pdf"
"ETERNAL","ETERNAL LIMITED","Trading Window","Zomato Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","22-Dec-2024 21:38:57","2024-12-22 21:38:57","22-Dec-2024 21:38:58","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_22122024213730_InsiderTradingIntimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Change in Management","Zomato Limited has informed the exchange regarding resignation of Ms. Hemal Jain.","16-Dec-2024 20:47:18","2024-12-16 20:47:18","16-Dec-2024 20:47:19","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_16122024204718_Zomatointimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","General Updates","Zomato Limited has informed the exchange regarding order received from Joint Commissioner of CGST & Central Excise, Thane Commissionerate, Maharashtra","12-Dec-2024 20:08:27","2024-12-12 20:08:27","12-Dec-2024 20:08:28","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_12122024200827_ZLIntimationDCOrdersigned.pdf"
"ETERNAL","ETERNAL LIMITED","ESOP/ESOS/ESPS","Zomato Limited has informed the Exchange regarding allotment of 47,75,34,845 shares approved by the nomination and remuneration committee in its meeting held today to Foodie Bay Employees ESOP Trust","02-Dec-2024 17:16:21","2024-12-02 17:16:21","02-Dec-2024 17:16:22","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_02122024171621_ZLIntimationAllotmentofsharesunderESOP02122024newsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Zomato Limited has informed the Exchange about Schedule of meet","02-Dec-2024 16:20:44","2024-12-02 16:20:44","02-Dec-2024 16:20:44","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_02122024162044_InvestormeetIntimationDec2024.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed the Exchange about updates on investment made in Byondnxt Smart Home Pvt Ltd.","01-Dec-2024 15:35:30","2024-12-01 15:35:30","01-Dec-2024 15:35:31","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_01122024153530_Byondnxt01122024signed333.pdf"
"ETERNAL","ETERNAL LIMITED","Allotment of Securities","Zomato Limited has informed the Exchange regarding allotment of 33,64,73,755 securities pursuant to Qualified Institution Placement at its  fund raising meeting held on November 29, 2024","29-Nov-2024 09:43:23","2024-11-29 09:43:23","29-Nov-2024 09:43:23","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_29112024094323_Zomatointimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Qualified Institutional Placement","Zomato Limited has informed the exchange about outcome of fund raising committee today w..r.t qualified Institutional Placement","29-Nov-2024 00:05:32","2024-11-29 00:05:32","29-Nov-2024 00:05:33","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_29112024000533_ZomatoSignedOutcomesigned.pdf"
"ETERNAL","ETERNAL LIMITED","Updates","Zomato Limited has informed the exchange regarding liquidation of Zomato Internet LLC, step down subsidiary of the Company.","25-Nov-2024 20:53:45","2024-11-25 20:53:45","25-Nov-2024 20:53:46","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_25112024205345_IntimationZomatoInternetLLCsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Qualified Institutional Placement","Zomato Limited has informed the Exchange that Fund Raising Committee at its meeting held today i.e. November 25, 2024, inter-alia approved the following: (i) Opening of the QIP Issue today i.e. November 25, 2024 (ii) the preliminary placement document (iii) Floor Price of QIP Issue being Rs. 265.91.","25-Nov-2024 19:22:18","2024-11-25 19:22:18","25-Nov-2024 19:22:19","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_25112024192219_ZomatoIntimationsigned.pdf"
"ETERNAL","ETERNAL LIMITED","Shareholders meeting","Zomato limited has submitted with exchange copy of scrutinizer report of postal ballot and voting results.","23-Nov-2024 00:34:11","2024-11-23 00:34:11","23-Nov-2024 00:34:12","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_23112024003412_ZomatoVotingSigned.pdf"
"ETERNAL","ETERNAL LIMITED","News Verification","The Exchange has sought clarification from Zomato Limited with respect to recent news item captioned CCI probe finds Zomato, Swiggy breached antitrust laws.  The response from the Company is attached.","11-Nov-2024 10:06:25","2024-11-11 10:06:25","11-Nov-2024 10:06:26","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_11112024100625_ZomatoNSEResponseSigned.pdf"
"ETERNAL","ETERNAL LIMITED","News Verification","The Exchange has sought clarification from Zomato Limited with respect to recent news item captioned CCI probe finds Zomato, Swiggy breached antitrust laws.  The response from the Company is awaited.","08-Nov-2024 16:18:26","2024-11-08 16:18:26","08-Nov-2024 16:18:26","00:00:00","-"
"ETERNAL","ETERNAL LIMITED","General Updates","Zomato Limited has informed the Exchange about updates on investment made in Adonmo Private Limited.","01-Nov-2024 21:57:25","2024-11-01 21:57:25","01-Nov-2024 21:57:25","00:00:00","https://nsearchives.nseindia.com/corporate/ZOMATO_01112024215725_ZomatointimationSigned.pdf"
"ETERNAL","ETERNAL LIMITED","Analysts/Institutional Investor Meet/Con. Call Updates","Zomato Limited has filed with exchange transcript of the earnings call held on October 22, 2024","29-Oct-2024 14:57:56","2024-10-29 14:57:56","29-Oct-2024 14:57:57","00:00:01","https://nsearchives.nseindia.com/corporate/ZOMATO_29102024145756_TranscriptfilingSept2024.pdf"
