"SYMBOL","COMPANY NAME","SUBJECT","DETAILS","BROADCAST DATE/TIME","RECEIPT","DISSEMINATION","DIFFERENCE","ATTACHMENT"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about intimation of a one-on-one meet (virtual) with an institutional investor on 25th September 2025 at 12:00 P.M. (IST).","22-Sep-2025 15:23:14","2025-09-22 15:23:14","22-Sep-2025 15:23:15","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_22092025152218_InstitutionalInvestorsMeet25thSeptember2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Press Note titled  Nestle India rolls-out GST rate reduction benefits for consumers"".","22-Sep-2025 15:12:52","2025-09-22 15:12:52","22-Sep-2025 15:12:53","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_22092025151207_STXintiationPressNoteGST22092025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about intimation of a one-on-one meet with an analyst scheduled on 23rd September 2025 at 10:00 A.M.","17-Sep-2025 18:20:21","2025-09-17 18:20:21","17-Sep-2025 18:20:22","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_17092025181757_Analyst_Meet_23rd_September_2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on a one-on-one meet with an analyst","17-Sep-2025 16:55:43","2025-09-17 16:55:43","17-Sep-2025 16:55:44","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_17092025165350_Investor_Meet_Outcome_17Sep2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about intimation of a one-on-one meet (virtual) scheduled on 23rd September 2025 with an Institutional Investor","16-Sep-2025 17:09:41","2025-09-16 17:09:41","16-Sep-2025 17:09:41","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_16092025170906_Institutional_Investors_Meet_23rd_September_2025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Public Notice regarding loss of share certificates","16-Sep-2025 17:04:47","2025-09-16 17:04:47","16-Sep-2025 17:04:48","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_16092025170346_NewspaperAdv16092025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication   Public Notice regarding loss of share certificates","12-Sep-2025 23:05:40","2025-09-12 23:05:40","12-Sep-2025 23:05:41","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_12092025230448_IntimationLossNewspaperAdvt2025FinalSIGNED.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about intimation of one-on-one meet scheduled on 17th September 2025 with an analyst","11-Sep-2025 19:36:57","2025-09-11 19:36:57","11-Sep-2025 19:36:58","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_11092025193527_Analyst_Meet_17th_September_2025signed.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding 'Report on Re-lodgement of Transfer Requests of Physical Shares for the month ended 31st August 2025'.","10-Sep-2025 23:19:32","2025-09-10 23:19:32","10-Sep-2025 23:19:33","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_10092025231839_Re-lodgement_of_Transfer_Requests_of_Physical_Shares_sept_2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Update on one-on-one meet with an institutional investor","04-Sep-2025 13:36:32","2025-09-04 13:36:32","04-Sep-2025 13:36:33","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_04092025133522_InvestorMeetOutcome4Sep2025Signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Intimation of one-on-one meet with an institutional investor","29-Aug-2025 18:22:06","2025-08-29 18:22:06","29-Aug-2025 18:22:07","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_29082025182017_InstitutionalInvestorsMeet4thSeptember2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Update on one-on-one meet (virtual) with an institutional investor","28-Aug-2025 21:34:54","2025-08-28 21:34:54","28-Aug-2025 21:34:55","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_28082025213434_InvestorMeetOutcome28Aug2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Intimation of one-on-one meet (virtual) with an institutional investor","20-Aug-2025 17:49:23","2025-08-20 17:49:23","20-Aug-2025 17:49:24","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_20082025174623_Institutional_Investors_Meet_28_August_2025signed.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Detailed proceedings of the Extraordinary General Meeting of the Company held on Thursday, 24th July 2025","18-Aug-2025 18:46:50","2025-08-18 18:46:50","18-Aug-2025 18:46:50","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_18082025184532_DetailedProceedingsOfTheEGMHeld24thJuly2025signed.pdf"
"NESTLEIND","Nestle India Limited","Allotment of Securities","Nestle India Limited has informed the Exchange regarding allotment of 964157160 number of equity shares of face value Re. 1/- each as fully paid-up bonus equity shares, pursuant to bonus issue at its meeting held on August 11, 2025","11-Aug-2025 09:47:07","2025-08-11 09:47:07","11-Aug-2025 09:47:08","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_11082025094551_Allotmentofsecuritiessigned.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding 'Re-lodgement of Transfer Requests of Physical Shares'.","07-Aug-2025 22:11:32","2025-08-07 22:11:32","07-Aug-2025 22:11:33","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_07082025221035_STXIntimation07082025signed.pdf"
"NESTLEIND","Nestle India Limited","Retirement","Nestle India Limited has informed the Exchange about Retirement of Mr. Suresh Narayanan as Chairman and Managing Director of the Company on 31st July 2025","31-Jul-2025 18:39:20","2025-07-31 18:39:20","31-Jul-2025 18:39:21","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_31072025183833_SNNretirementIntimationsigned.pdf"
"NESTLEIND","Nestle India Limited","Record Date","Nestle India Limited has informed the Exchange that Record date for the purpose of Bonus  is 08-Aug-2025.","29-Jul-2025 19:14:41","2025-07-29 19:14:41","29-Jul-2025 19:14:42","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_29072025190707_Recorddatebonussigned.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has informed the Exchange with copy of detailed proceedings of the 66th Annual General Meeting ( 66th AGM ) of the Company held on Thursday, 26th June 2025","24-Jul-2025 20:22:44","2025-07-24 20:22:44","24-Jul-2025 20:22:44","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025202140_STXDetailedProceedings66AGMsigned.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has submitted the Exchange a copy Srutinizers report of  Extraordinary General Meeting held on July 24, 2025. Further, the company has informed the Exchange regarding voting results.","24-Jul-2025 20:06:00","2025-07-24 20:06:00","24-Jul-2025 20:06:00","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025200217_ScrutinizersReportVotingResultssigned.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has informed the Exchange regarding summary proceedings of the Extraordinary General Meeting of the Company held on July 24, 2025.","24-Jul-2025 18:59:52","2025-07-24 18:59:52","24-Jul-2025 18:59:52","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025185416_SummaryProceedingsoftheEGMsigned.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about General Updates - Brief profile of Mr. Manish Tiwary (DIN: 02572830), appointed as the Chairman","24-Jul-2025 18:31:38","2025-07-24 18:31:38","24-Jul-2025 18:31:38","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025182954_BSENSEAppointmentofTheChairmansigned.pdf"
"NESTLEIND","Nestle India Limited","Press Release","Nestle India Limited has informed the Exchange regarding a press release dated July 24, 2025, relating to the unaudited financial results titled ""Nestle India returns to volume-led growth largely across business categories"".","24-Jul-2025 16:25:46","2025-07-24 16:25:46","24-Jul-2025 16:25:47","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025162259_PressRelease.pdf"
"NESTLEIND","Nestle India Limited","Appointment","Nestle India Limited has informed the Exchange regarding Appointment of Mr Manish Tiwary as the Chairman w.e.f. August 01, 2025.","24-Jul-2025 11:51:07","2025-07-24 11:51:07","24-Jul-2025 11:51:08","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025115016_AppointmentofChairman.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about General Updates - Appointment of Mr. Manish Tiwary as the Chairman w.e.f. 1st August 2025","24-Jul-2025 11:47:34","2025-07-24 11:47:34","24-Jul-2025 11:47:35","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025114711_AppointmentofChairman.pdf"
"NESTLEIND","Nestle India Limited","Outcome of Board Meeting","Nestle India Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025.","24-Jul-2025 11:43:06","2025-07-24 11:43:06","24-Jul-2025 11:43:08","00:00:02","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025113331_STXIntimationUFRs24072025signed.pdf"
"NESTLEIND","Nestle India Limited","Outcome of Board Meeting","Nestle India Limited has informed the Exchange regarding  Board meeting held on July 24, 2025.","24-Jul-2025 11:30:41","2025-07-24 11:30:41","24-Jul-2025 11:30:42","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24072025113028_STXIntimationUFRs24072025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Public Notice regarding loss of share certificates","21-Jul-2025 22:45:57","2025-07-21 22:45:57","21-Jul-2025 22:45:58","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_21072025224302_STXIntimation21072025signed.pdf"
"NESTLEIND","Nestle India Limited","Certificate under SEBI (Depositories and Participants) Regulations, 2018","Nestle India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30.06.2025","09-Jul-2025 17:42:49","2025-07-09 17:42:49","09-Jul-2025 17:42:50","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_09072025174023_STXintimationCertificate745signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about General Updates - Notice to the members holding shares in physical form","04-Jul-2025 20:05:52","2025-07-04 20:05:52","04-Jul-2025 20:05:54","00:00:02","https://nsearchives.nseindia.com/corporate/NESTLEIND1_04072025200430_STXIntimation04072025signed.pdf"
"NESTLEIND","Nestle India Limited","Capacity addition","Nestle India Limited has informed the Exchange about Capacity addition - Intimation regarding the addition of a new Maggi Noodles production line at the Sanand Factory, Gujarat","02-Jul-2025 17:45:13","2025-07-02 17:45:13","02-Jul-2025 17:45:15","00:00:02","https://nsearchives.nseindia.com/corporate/NESTLEIND1_02072025174028_STXIntimationMaggiSanandsigned.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Notice of Extraordinary General Meeting","02-Jul-2025 16:58:07","2025-07-02 16:58:07","02-Jul-2025 16:58:08","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_02072025165543_EGMSTXNewspaperadvpostdispatchsigned.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on July 24, 2025","01-Jul-2025 18:17:06","2025-07-01 18:17:06","01-Jul-2025 18:17:06","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_01072025181642_STXintimationEGMNoticesigned.pdf"
"NESTLEIND","Nestle India Limited","Disclosure under SEBI Takeover Regulations"," Nestlé S.A. and Maggi Enterprises Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.","27-Jun-2025 17:48:49","2025-06-27 17:48:49","27-Jun-2025 17:48:50","00:00:01","https://nsearchives.nseindia.com/corporate/team_bbodade_15052025154755_NEST.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 26, 2025. Further, the company has informed the Exchange regarding voting results.","26-Jun-2025 20:57:27","2025-06-26 20:57:27","26-Jun-2025 20:57:27","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26062025205537_EVotingResultsScrutinizerReport66thAGMNestleIndiasigned.pdf"
"NESTLEIND","Nestle India Limited","Trading Window","Nestle India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","26-Jun-2025 18:22:48","2025-06-26 18:22:48","26-Jun-2025 18:22:49","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26062025182057_TradingWindowClosureSEintimationsigned.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has informed the Exchange regarding Summary Proceedings of the 66th Annual General Meeting held on Jun 26, 2025","26-Jun-2025 17:50:22","2025-06-26 17:50:22","26-Jun-2025 17:50:22","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26062025175009_66thAGMOutcomesigned.pdf"
"NESTLEIND","Nestle India Limited","Bonus","Nestle India Limited has informed the Exchange that the Board of Directors at its meeting held on Jun 26, 2025, have considered and approved issue of bonus equity shares in the ratio of 1 : 1, i.e. 1 Equity Share for every 1 Equity Share held.","26-Jun-2025 10:05:01","2025-06-26 10:05:01","26-Jun-2025 10:05:02","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_26062025100319_NILOutcomeofboardmeetingBonussigned.pdf"
"NESTLEIND","Nestle India Limited","Trading Window","Nestle India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","19-Jun-2025 17:08:46","2025-06-19 17:08:46","19-Jun-2025 17:08:46","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_19062025170741_PriorIntimationandTradingWindowClosure19062025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about  Cancellation of one-on-one meet with an institutional investor originally scheduled for 18th June 2025","12-Jun-2025 19:12:10","2025-06-12 19:12:10","12-Jun-2025 19:12:10","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_12062025190538_InstitutionalInvestorsMeet18062025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Public Notice regarding loss of share certificates","12-Jun-2025 18:55:56","2025-06-12 18:55:56","12-Jun-2025 18:55:57","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_12062025185452_Newspaperadv12062025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about schedule of one-on-one meet with an institutional investor","10-Jun-2025 19:17:39","2025-06-10 19:17:39","10-Jun-2025 19:17:40","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_10062025191519_InstitutionalInvestorsMeet18062025signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Notice of 66th Annual General Meeting, Remote e-Voting information, Record Date etc.","04-Jun-2025 19:46:31","2025-06-04 19:46:31","04-Jun-2025 19:46:32","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_04062025194231_STXIntimationpostAGMNoticesigned.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Update on Analyst/ Institutional Investor Meet","04-Jun-2025 19:15:39","2025-06-04 19:15:39","04-Jun-2025 19:15:40","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_04062025191400_Investor_Meet_Outcome_04June2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Update on Analyst/ Institutional Investor Meet","03-Jun-2025 19:16:19","2025-06-03 19:16:19","03-Jun-2025 19:16:20","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_03062025191547_InvestorMeetOutcome03June2025signed.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year ended 31st March 2025'.","03-Jun-2025 00:32:52","2025-06-03 00:32:52","03-Jun-2025 00:32:53","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_03062025003115_Nestle_India_BRSR.pdf"
"NESTLEIND","Nestle India Limited","Shareholders meeting","Nestle India Limited has informed the Exchange regarding Notice of 66th Annual General Meeting to be held on Jun 26, 2025","03-Jun-2025 00:17:36","2025-06-03 00:17:36","03-Jun-2025 00:17:36","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_03062025001441_NestleIndiaNoticeAGMAR202425signed.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about Copy of Newspaper Publication Public Notice before dispatch of Notice for the 66th AGM and Annual Report","30-May-2025 20:44:34","2025-05-30 20:44:34","30-May-2025 20:44:35","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND2_30052025204319_STXPreAGMsigned.pdf"
"NESTLEIND","Nestle India Limited","Copy of Newspaper Publication","Nestle India Limited has informed the Exchange about copy of Newspaper Publication regarding issue of Letter of Confirmation(s)/ Entitlement Letter(s) in lieu share certificate(s) reported lost","28-May-2025 19:59:57","2025-05-28 19:59:57","28-May-2025 19:59:58","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_28052025195852_Lossofsharecertsadv28052025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about update on one-on-one meet with an institutional investor","28-May-2025 19:46:29","2025-05-28 19:46:29","28-May-2025 19:46:30","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_28052025194430_Investor_Meet_Outcome_28May2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Intimation of Analyst/ Institutional Investor Meet(s)","27-May-2025 20:18:30","2025-05-27 20:18:30","27-May-2025 20:18:31","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_27052025201622_InstitutionalInvestorsMeet3June2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about Intimation of one-on-one meet with an institutional investor","22-May-2025 18:45:36","2025-05-22 18:45:36","22-May-2025 18:45:36","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_22052025184443_InstitutionalInvestorsMeet28May2025signed.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange regarding appointment of Mr. Manish Tiwary as Key Managerial Personnel of the Company with effect from 24th April 2025.","24-Apr-2025 12:38:27","2025-04-24 12:38:27","24-Apr-2025 12:38:28","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025123807_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Change in Director(s)","Nestle India Limited has informed the Exchange regarding Change in Director(s) of the company.","24-Apr-2025 12:33:22","2025-04-24 12:33:22","24-Apr-2025 12:33:23","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025123256_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Appointment","Nestle India Limited has informed the Exchange regarding Appointment of Ms SNACO  as Secretarial Auditor of the Company for a period of five consecutive years commencing from financial year 2025-26 till financial year 2029-30, subject to approval of members at the ensuing 66th AGM (refer Annexure III).","24-Apr-2025 12:26:13","2025-04-24 12:26:13","24-Apr-2025 12:26:14","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025122542_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","General Updates","Nestle India Limited has informed the Exchange about convening of 66th Annual General Meeting ( AGM ) on Thursday, 26th June 2025 through Video Conferencing/ Other Audio-Visual Means (VC/ OAVM). Soft copy of the Annual Report and Notice of the 66th AGM shall be sent in due course.","24-Apr-2025 12:08:39","2025-04-24 12:08:39","24-Apr-2025 12:08:39","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025120716_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Press Release","Nestle India Limited has informed the Exchange regarding a press release dated April 24, 2025, titled ""Advancing amidst volatility - Nestle India delivers highest ever domestic sales this quarter"".","24-Apr-2025 11:49:26","2025-04-24 11:49:26","24-Apr-2025 11:49:26","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025114840_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Record Date","Nestle India Limited has informed the Exchange that Record date for the purpose of Dividend  is 24-Apr-2025.","24-Apr-2025 11:45:18","2025-04-24 11:45:18","24-Apr-2025 11:45:18","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025114348_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Dividend","Nestle India Limited has informed the Exchange that Board of Directors at its meeting held on April 24, 2025, recommended Final Dividend of Rs. 10 per equity share.","24-Apr-2025 11:43:04","2025-04-24 11:43:04","24-Apr-2025 11:43:05","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025114226_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Dividend","Nestle India Limited has informed the Exchange that Board of Directors at its meeting held on April 24, 2025, recommended Final Dividend of 10 per equity share.","24-Apr-2025 11:40:13","2025-04-24 11:40:13","24-Apr-2025 11:40:14","00:00:01","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025113958_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Outcome of Board Meeting","Nestle India Limited has informed the Exchange regarding Outcome of Board Meeting held on April 24, 2025.","24-Apr-2025 11:39:10","2025-04-24 11:39:10","24-Apr-2025 11:39:10","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_24042025113809_Final_NSEBSEOutcomew.pdf"
"NESTLEIND","Nestle India Limited","Updates","Nestle India Limited has informed the Exchange regarding 'Regulation 29: Board of Directors of the Company to also consider recommendation of final dividend for the financial year 2024-25, if any, at its meeting scheduled on 24th April 2025'.","17-Apr-2025 17:57:38","2025-04-17 17:57:38","17-Apr-2025 17:57:38","00:00:00","https://nsearchives.nseindia.com/corporate/NESTLEIND1_17042025175719_Reg29BSENSEDividendIntimationsigned.pdf"
